ngram,count
wellbeing,811
stability,179
variables,160
genetic,157
psycholog,149
measurement,147
theory,141
event,137
experience,132
models,132
average,129
environmental,124
unemployment,121
year,121
example,120
psychological,114
longitudinal,109
variable,106
points,103
work,103
however,100
effect,97
health,95
variance,94
influences,93
years,91
change,90
measures,90
findings,88
chapter,87
longterm,87
specific,87
results,86
scale,85
used,85
greater,83
major,82
public,82
research,81
reported,80
role,78
growth,77
influence,77
approach,76
baseline,75
question,75
twins,75
measure,74
observed,74
questions,73
scores,73
analysis,72
nations,72
processes,72
factor,71
rate,71
value,71
economic,70
happy,70
science,68
adapt,66
clinical,66
personal,66
activities,64
conditions,64
substantial,64
basic,63
behavior,63
psychology,63
survey,63
circumstances,62
therapy,62
