ngram,count
childrens,49
wellbeing,35
rules,19
adults,17
play,15
circle,13
perspectives,13
preschool,13
experience,12
ltd childrens,12
norms,12
opposition,12
identity,11
childrens vol,10
experiences,10
ltd childrens vol,10
peers,10
balance,9
control,9
feel,9
perspective,9
photos,9
boys,8
early,8
happy,8
playing,8
stories,8
authority,7
childrens perspectives,7
concept,7
describes,7
educator,7
interviews,7
parallel,7
school,7
challenge,6
class,6
counterculture,6
edge,6
group,6
importance,6
ordinary,6
peerculture,6
research,6
rules norms,6
status,6
subjective,6
taking,6
trouble,6
actions,5
agendas,5
analysis,5
asked,5
boy,5
childrens perspectives subjective,5
childrens perspectives subjective wellbeing,5
childrens vol childrens,5
childrens vol childrens perspectives,5
childrens vol childrens perspectives subjective,5
childrens vol childrens perspectives subjective wellbeing,5
development,5
feel happy,5
field,5
institution,5
interpretive,5
participation,5
perspectives subjective,5
perspectives subjective wellbeing,5
points,5
practice,5
risk,5
subjective wellbeing,5
support,5
words,5
young,5
absence,4
act,4
