ngram,count
learning,69
students,47
perceptions,38
children,33
words,27
coded,26
best,25
experiences,24
personal,24
year,24
classroom,21
positive,20
school,19
qualities,18
young,18
academic,17
self,16
psychology,15
research,15
traits,15
extracurricular,14
possible,14
best possible,12
childrens,12
magic,12
psychological,12
social,12
activity,11
drawings,11
analysis,10
deep,10
happiness,10
student,10
success,10
task,10
wish,10
words coded,10
writing,10
cent,9
primary school,9
psychological traits,9
students perceptions,9
used,9
young children,9
category,8
data,8
dispositions,8
expressed,8
interests,8
journal,8
learners,8
learningrelated,8
magic wish,8
student year,8
these,8
categories,7
classrooms,7
different,7
educational,7
experience,7
learning experiences,7
range,7
schools,7
subcategories,7
thinking,7
words phrases,7
approaches,6
best possible learning,6
citations,6
comments,6
connectedness,6
entailed,6
female,6
important,6
orientation,6
perceive,6
personal qualities,6
possible learning,6
provide,6
reflected,6
reflexive,6
requirements,6
