ngram,count
items,40
factor,33
researchers,30
validity,29
crosscultural,25
results,24
stage,13
construct,12
measurement,12
wellbeing,12
absorption,10
affective,10
commitment,10
conducted,10
measure,10
sample,10
cultural,9
factor loading,9
item,9
loading,9
organizational,9
result,9
translation,9
validation,9
vigor,9
exploratory,8
exploratory factor,8
help,8
indicated,8
language,8
management,8
organizational commitment,8
questionnaire,8
value,8
affective organizational,7
affective organizational commitment,7
components,7
confirmatory,7
confirmatory factor,7
considered,7
current,7
english,7
expert,7
fisher,7
indonesia,7
lecturers,7
method,7
organization,7
presented,7
valid,7
variance,7
assess,6
ave,6
consists,6
crosscultural validation,6
deleted,6
forward,6
international,6
measured,6
one crosscultural validation,6
relevant,6
research,6
sampling,6
test,6
years,6
alpha,5
black,5
